"","Figure","Panel","Weights","Ensemble","Comparison","Fit","c","d","e","Pr90"
"234","S3","G","inv_var_weights","RF","RF","EXD3",1.10584598013212,1.14420838998996,0.323342623803715,1
"235","S3","G","inv_var_weights","RF","SVR","EXD3",0.987190996950483,1.16915338654968,0.323342623803715,1
"236","S3","G","inv_var_weights","RF","DNN-CO","EXD3",0.958600909368097,1.14221738041484,0.323342623803715,1
"237","S3","G","inv_var_weights","RF","DNN-SO","EXD3",0.976311895573423,1.11448298735719,0.323342623803715,1
"238","S3","G","inv_var_weights","RF","LM","Linear",1.01693524267083,NA,NA,NA
"239","S3","G","inv_var_weights","RF","KNN","Linear",1.01693524267083,NA,NA,NA
"240","S3","G","inv_var_weights","RF","RNR","Linear",1.01693524267083,NA,NA,NA
"241","S3","H","inv_var_weights","SVR","LM","EXD3",0.946688181079846,0.967292580794583,1.34548034740813,4
"242","S3","H","inv_var_weights","SVR","BLUP","EXD3",0.886494193937341,0.966389301520036,1.34548034740813,4
"243","S3","H","inv_var_weights","SVR","KNN","EXD3",0.97748428095272,1.04466681765088,1.34548034740813,4
"244","S3","H","inv_var_weights","SVR","RNR","EXD3",0.986360701317677,1.03930052719908,1.34548034740813,4
"245","S3","H","inv_var_weights","SVR","RF","EXD3",0.98564713573273,1.01226414936418,1.34548034740813,4
"246","S3","H","inv_var_weights","SVR","SVR","EXD3",0.956840633920716,1.1270992830999,1.34548034740813,4
"247","S3","H","inv_var_weights","SVR","DNN-CO","EXD3",0.920393864693494,0.976315766483678,1.34548034740813,4
"248","S3","H","inv_var_weights","SVR","DNN-SO","EXD3",0.956006066145674,0.999416855350108,1.34548034740813,4
"249","S3","I","inv_var_weights","DNN-CO","LM","EXD3",0.92697097382297,0.93288316873708,0.965427085920064,3
"250","S3","I","inv_var_weights","DNN-CO","BLUP","EXD3",0.892748281472315,0.915197772418364,0.965427085920064,3
"251","S3","I","inv_var_weights","DNN-CO","KNN","EXD3",0.957565268597924,0.995611576461666,0.965427085920064,3
"252","S3","I","inv_var_weights","DNN-CO","RNR","EXD3",0.963294165061046,1.02356048703995,0.965427085920064,3
"253","S3","I","inv_var_weights","DNN-CO","RF","EXD3",0.958190745982593,0.981242562945154,0.965427085920064,3
"254","S3","I","inv_var_weights","DNN-CO","SVR","EXD3",0.921267997013939,0.997350923522716,0.965427085920064,3
